System	bleu	chrf	macrof	microf
nc.en-cs.025000.bpe16000.fconv	17.26	0.458	13.79	42.54
nc.en-cs.025000.bpe32000.fconv	16.14	0.438	11.98	40.94
nc.en-cs.050000.bpe16000.fconv	22.32	0.514	20.45	48.66
nc.en-cs.050000.bpe32000.fconv	21.97	0.51	19.92	48.19
nc.en-cs.075000.bpe16000.fconv	23.88	0.529	22.48	50.26
nc.en-cs.075000.bpe32000.fconv	24.58	0.537	23.57	51.18
nc.en-cs.100000.bpe16000.fconv	25.56	0.544	24.18	51.72
nc.en-cs.100000.bpe32000.fconv	26.52	0.555	25.8	53.05
nc.en-cs.125000.bpe16000.fconv	26.88	0.556	25.93	53.13
nc.en-cs.125000.bpe32000.fconv	27.43	0.562	26.94	53.87
nc.en-cs.150000.bpe16000.fconv	27.28	0.56	26.66	53.59
nc.en-cs.150000.bpe32000.fconv	28.08	0.568	27.89	54.43
nc.en-cs.175000.bpe16000.fconv	28.78	0.573	28.28	54.97
nc.en-cs.175000.bpe32000.fconv	28.82	0.574	28.84	55.2
nc.en-cs.200000.bpe16000.fconv	28.47	0.57	27.82	54.53
nc.en-cs.200000.bpe32000.fconv	29.23	0.577	29.18	55.45
nc.en-de.025000.bpe16000.fconv	18.35	0.461	14.81	43.31
nc.en-de.025000.bpe32000.fconv	17.27	0.438	12.74	41.48
nc.en-de.050000.bpe16000.fconv	23	0.514	21.24	48.88
nc.en-de.050000.bpe32000.fconv	22.21	0.502	19.96	48
nc.en-de.075000.bpe16000.fconv	24.79	0.53	23.76	50.83
nc.en-de.075000.bpe32000.fconv	25.1	0.532	23.96	51.2
nc.en-de.100000.bpe16000.fconv	26.66	0.546	25.85	52.53
nc.en-de.100000.bpe32000.fconv	26.33	0.545	25.99	52.38
nc.en-de.125000.bpe16000.fconv	26.55	0.545	25.94	52.45
nc.en-de.125000.bpe32000.fconv	27.57	0.557	27.59	53.68
nc.en-de.150000.bpe16000.fconv	27.25	0.553	26.99	53.3
nc.en-de.150000.bpe32000.fconv	27.79	0.559	28	53.85
nc.en-de.175000.bpe16000.fconv	28.31	0.563	28.61	54.39
nc.en-de.175000.bpe32000.fconv	28.68	0.566	29.01	54.63
nc.en-de.200000.bpe16000.fconv	28.81	0.567	28.99	54.81
nc.en-de.200000.bpe32000.fconv	29.63	0.575	30.44	55.65